NAME	type	X	Y
金陵中西医结合医院	1	118.78154928000	31.99995301490
花神庙社区卫生站	1	118.77213456000	31.98915553530
玄武区口腔病防治所新街口分所	1	118.78197426000	32.05399297520
宁海路社区卫生中心	1	118.76695434000	32.05665481530
宁海路社区卫生中心	1	118.76695434000	32.05665481530
南京尊然坊门诊部	1	118.77927696000	32.07650328010
南京市雨花医院	1	118.76403888000	32.00248430990
南京肉联厂门诊部	1	118.74481920000	32.10869663990
幕府西路社区医疗门诊所	1	118.76674068000	32.10560793030
军区机关医院	1	118.80261864000	32.05285564530
南京市中西医结合医院卫桥门诊部(钟山医院卫桥门诊部)	1	118.82627460000	32.03838198020
中央门社区卫生服务中心	1	118.77614928000	32.08367857490
杨宝中诊所	1	118.73099430000	32.06625894000
南京雨花门诊部	1	118.77690762000	32.00640335970
象山诊所	1	118.75831560000	32.10175196990
南京市市级机关医院河西门诊部	1	118.72623258000	32.00661778540
国营第五二八厂职工医院	1	118.79624196000	32.01280730980
瑞鑫烧伤专科医院－急诊	1	118.79892360000	32.03631607480
南京医科大学第二附属医院	1	118.73935908000	32.08317920960
燕子矶新联社区卫生站	1	118.81636632000	32.13040374010
南京建邺爱达诊所	1	118.75740858000	32.01664837470
瑞金新村社区卫生站	1	118.80728910000	32.03311887040
南京建邺金顺诊所	1	118.73215386000	32.04145138480
白云诊所	1	118.77319890000	32.11127936980
南京神安门诊部	1	118.77579558000	32.07335103030
丽康诊所	1	118.75484682000	32.09318050510
南京下关芮小平诊所	1	118.75138380000	32.09325781480
南京手佳中医门诊部	1	118.76124636000	32.04285336030
南京邦德骨科医院	1	118.80100656000	32.04970280990
宁康诊所	1	118.74288402000	32.03427968970
南京南晨第二门诊	1	118.81226070000	32.01349311010
南京秦淮东阳诊所	1	118.81845126100	32.01161220000
陆军指挥学院退干门诊部	1	118.73566080000	32.06759625000
南京市救护站城西分站	1	118.76155866000	32.04978745520
南京审计学院莫愁校区－卫生所	1	118.74716586000	32.04074313040
凤西诊所	1	118.74853746000	32.04342553470
建邺医院	1	118.72815876000	32.02287974960
南京五十五研究所职工医院	1	118.80559512000	32.03957736000
麦迪生医学门诊	1	118.80498402000	32.03946639020
南京秦淮强宁诊所	1	118.78875954000	32.00174275490
南京玄武标礼诊所	1	118.82278350000	32.08701649490
南京下关幕府东路诊所	1	118.78545636000	32.11606592960
南京玄武悦康诊所	1	118.82635956000	32.10503728510
建邺区沙洲社区卫生中心	1	118.71671886000	31.98667531500
双塘社区卫生服务站	1	118.76781600000	32.02535776460
南京同善门诊部	1	118.77982236000	32.08440163490
中山陵园管理局职工医院	1	118.83493134000	32.04562891500
应天花园社区卫生站	1	118.75513608000	32.01433546500
华宏门诊部	1	118.77523128000	32.11070134460
南京下关旭日诊所	1	118.78253208000	32.11550217020
中医坐堂医诊所	1	118.81513080000	32.05083492010
南京帝坛门诊	1	118.79987706000	32.10730159470
新街口社区卫生中心	1	118.78778682000	32.04832351470
南京市口腔医院	1	118.77939522000	32.06376679530
南京金陵男科医院	1	118.78154928000	31.99995301490
尚书社区卫生站	1	118.80140886000	32.03104905040
秦淮区夹岗社区卫生站	1	118.80730188000	31.98296555990
许家巷社区卫生中心	1	118.78191450000	32.02002387000
思邈堂集虹苑中医诊所	1	118.80117036000	32.01563574040
南华骨科医院	1	118.82010366000	32.02178737460
南京京华医院	1	118.78546230000	32.03863658960
南京爱尔眼科医院	1	118.77052824000	32.02654018530
俞家巷社区医疗站口腔门诊	1	118.77764688000	32.03854150480
荣发中医专科诊所	1	118.76553900000	32.04132529520
南京白下陆家巷诊所	1	118.77692652000	32.03942152490
玄武湖社区卫生服务中心	1	118.82290356000	32.07772421980
东南大学医院	1	118.79066052000	32.05419867010
红花社区卫生服务中心	1	118.79552970000	31.99579033470
南京建邺海棠园诊所	1	118.74295422000	32.03330948970
港口医院热河南路诊所	1	118.73712114000	32.08593172530
中山门中西医结合诊所	1	118.81902995900	32.03855914500
双塘社区卫生中心	1	118.76929542000	32.01969555030
南京市鼓楼区中医院	1	118.76044950000	32.07613725020
二十八所职工医院	1	118.83113442000	32.03779045470
春晖诊所	1	118.74658158000	32.01765241520
挹江门社区卫生服务中心	1	118.75099680100	32.08649850010
南中医大国医堂门诊部	1	118.76183765900	32.04606554960
十字街卫生所	1	118.80272340000	32.09917482030
南京市栖霞区寻一门诊	1	118.83952440000	32.12528485470
玄武区孝陵卫社区卫生服务中心（一部）	1	118.84847940000	32.03791123540
江苏省口腔医院第四门诊部(南京医科大学附属口腔医院)	1	118.73593170000	32.08101079500
南京华西妇科	1	118.78816068000	32.02593119960
雨花健民诊所	1	118.75788666000	32.01054470990
